image,width,height,class,min_x,min_y,max_x,max_y
^000087.png,640,480,cow,125,271,316,448
^000091.png,500,375,bicycle,61,55,454,334
^000092.png,640,480,sheep,57,93,523,464
^000094.png,640,480,cow,83,115,534,398
^000096.png,500,375,sheep,5,63,313,374
^000096.png,500,375,sheep,254,93,498,372
^000097.png,375,500,dog,206,310,368,471
^000097.png,375,500,person,192,114,315,454
^000097.png,375,500,person,39,115,156,441
^000101.png,640,480,cat,126,34,367,379
^000103.png,640,480,car,22,156,602,379
^000104.png,640,480,cow,138,169,368,331
^000108.png,640,480,car,83,62,523,451
^000110.png,500,333,horse,108,84,274,241
^000110.png,500,333,horse,388,47,469,259
^000110.png,500,333,person,142,27,245,145
^000110.png,500,333,person,372,5,500,161
^000110.png,500,333,person,279,93,323,195
^000112.png,640,480,sheep,180,133,466,360
^000113.png,640,480,sheep,112,68,534,390
^000114.png,500,332,sheep,118,94,325,320
^000114.png,500,332,car,2,1,147,34
^000115.png,640,480,car,48,136,586,343
^000116.png,500,375,bicycle,213,38,464,184
^000117.png,500,375,cow,2,12,493,375
^000120.png,333,500,bus,2,8,332,484
^000121.png,500,335,motorbike,249,129,323,210
^000121.png,500,335,motorbike,48,133,183,262
^000122.png,375,500,dog,32,74,268,499
^000124.png,500,414,person,368,43,496,375
^000124.png,500,414,person,173,77,327,191
^000124.png,500,414,person,93,54,169,197
^000124.png,500,414,person,65,44,128,170
^000124.png,500,414,person,52,1,143,73
^000124.png,500,414,motorbike,5,156,373,398
^000126.png,500,326,person,21,42,148,326
^000127.png,640,480,car,248,226,502,315
^000127.png,640,480,car,434,214,640,300
^000127.png,640,480,car,339,359,640,480
^000127.png,640,480,person,258,213,279,241
^000128.png,500,333,dog,364,107,474,231
^000128.png,500,333,dog,181,142,265,271
^000128.png,500,333,person,327,2,376,224
^000128.png,500,333,person,209,81,362,279
^000128.png,500,333,person,132,39,222,267
^000128.png,500,333,dog,3,90,63,128
^000128.png,500,333,person,36,33,110,119
^000130.png,640,480,person,149,89,558,477
^000131.png,640,480,dog,100,37,500,476
^000131.png,640,480,car,3,2,341,304
^000131.png,640,480,car,542,23,640,241
^000132.png,500,375,cat,1,22,469,373
^000134.png,640,480,bicycle,44,54,582,450
^000136.png,500,375,bus,171,47,336,266
^000136.png,500,375,car,442,187,463,203
^000137.png,640,480,cow,141,174,518,389
^000137.png,640,480,car,1,215,60,263
^000137.png,640,480,person,158,260,200,312
^000138.png,500,375,person,171,86,244,242
^000138.png,500,375,person,330,61,350,118
^000138.png,500,375,car,270,68,333,102
^000138.png,500,375,car,222,77,270,101
^000138.png,500,375,motorbike,113,126,312,244
^000140.png,500,347,sheep,95,46,158,112
^000140.png,500,347,sheep,151,51,201,108
^000140.png,500,347,sheep,121,104,212,229
^000140.png,500,347,sheep,231,129,445,315
^000145.png,500,400,cat,180,11,500,309
^000145.png,500,400,cat,2,10,238,331
^000149.png,500,375,bus,101,169,234,228
^000149.png,500,375,car,446,57,476,79
^000149.png,500,375,car,270,6,299,21
^000149.png,500,375,car,81,177,100,198
^000150.png,500,375,sheep,318,148,397,255
^000150.png,500,375,sheep,202,144,330,272
^000150.png,500,375,sheep,50,136,144,252
^000150.png,500,375,sheep,285,128,337,248
^000151.png,500,375,dog,1,162,138,369
^000151.png,500,375,person,269,36,493,369
^000154.png,500,313,cat,58,3,146,309
^000156.png,640,480,car,134,30,588,469
^000158.png,500,375,horse,160,22,403,372
^000158.png,500,375,horse,2,4,500,358
^000159.png,500,375,bicycle,278,264,306,300
^000159.png,500,375,person,281,244,304,288
^000161.png,500,375,bus,86,30,442,350
^000161.png,500,375,person,135,171,175,208
^000161.png,500,375,car,1,240,51,285
^000162.png,375,500,cat,50,139,218,376
^000167.png,500,375,cow,124,102,230,262
^000167.png,500,375,person,292,236,380,328
^000167.png,500,375,person,323,151,380,235
^000167.png,500,375,person,272,126,337,195
^000167.png,500,375,person,147,62,212,136
^000167.png,500,375,person,94,142,177,196
^000171.png,500,399,cat,21,51,461,399
^000174.png,399,500,cow,168,355,226,387
^000174.png,399,500,cow,283,331,341,367
^000176.png,500,333,person,174,68,269,182
^000176.png,500,333,horse,138,91,331,267
^000180.png,500,333,cat,128,1,394,248
^000182.png,480,640,person,166,221,241,411
^000182.png,480,640,person,56,212,113,407
^000185.png,640,480,car,26,149,620,373
^000186.png,500,333,person,190,28,432,333
^000187.png,500,375,bus,266,34,500,364
^000187.png,500,375,bus,3,38,185,341
^000187.png,500,375,bus,198,195,267,277
^000187.png,500,375,bus,58,156,204,266
^000188.png,500,333,person,294,174,337,226
^000188.png,500,333,person,157,82,174,98
^000188.png,500,333,horse,212,179,295,229
^000189.png,500,375,sheep,65,64,480,374
^000190.png,640,480,car,24,91,615,379
^000192.png,640,425,bicycle,40,29,621,389
^000193.png,640,480,sheep,239,168,500,375
^000193.png,640,480,sheep,153,153,402,365
^000197.png,640,480,car,122,166,537,355
^000197.png,640,480,person,346,199,402,244
^000198.png,500,375,dog,107,38,387,361
^000199.png,640,480,car,122,73,474,437
^000199.png,640,480,car,603,149,640,349
^000199.png,640,480,car,1,143,32,332
^000200.png,640,480,person,227,178,295,316
^000200.png,640,480,bicycle,224,241,306,344
^000200.png,640,480,person,170,195,180,212
^000200.png,640,480,person,177,192,190,213
^000200.png,640,480,car,32,204,48,216
^000201.png,500,359,cat,95,81,414,306
^000202.png,360,500,cow,109,200,274,330
^000202.png,360,500,person,111,180,220,375
^000207.png,332,500,cat,73,131,332,500
^000208.png,640,480,car,104,29,518,434
^000210.png,500,322,bus,153,92,344,255
^000210.png,500,322,person,475,160,490,202
^000210.png,500,322,person,381,150,397,194
^000210.png,500,322,person,47,149,54,168
^000210.png,500,322,person,32,145,38,169
^000210.png,500,322,car,397,156,429,174
^000210.png,500,322,car,339,171,355,220
^000210.png,500,322,car,137,163,156,200
^000210.png,500,322,car,118,153,143,170
^000210.png,500,322,car,106,153,114,169
^000210.png,500,322,car,72,154,86,167
^000214.png,333,500,motorbike,2,202,238,460
^000214.png,333,500,person,227,100,333,435
^000215.png,640,480,bicycle,175,62,528,457
^000215.png,640,480,bicycle,101,47,439,452
^000216.png,375,500,cat,15,114,324,410
^000219.png,500,375,cat,231,128,291,216
^000220.png,640,480,person,159,246,466,480
^000221.png,500,333,dog,1,52,381,301
^000223.png,500,409,person,217,136,283,353
^000223.png,500,409,person,151,139,220,282
^000223.png,500,409,person,101,140,157,282
^000223.png,500,409,person,35,141,107,356
^000224.png,500,375,motorbike,3,46,474,349
^000227.png,500,375,horse,217,87,318,338
^000229.png,500,377,dog,68,67,329,298
^000230.png,640,480,car,87,21,573,460
^000231.png,500,333,dog,112,90,271,179
^000233.png,500,350,horse,225,150,427,255
^000233.png,500,350,horse,1,149,121,252
^000233.png,500,350,person,321,135,379,186
^000233.png,500,350,person,26,135,82,185
^000238.png,375,500,dog,60,284,171,385
^000241.png,500,375,sheep,216,208,343,309
^000242.png,500,374,cow,10,70,500,374
^000243.png,500,375,cat,1,82,499,375
^000245.png,640,480,bus,430,217,520,370
^000245.png,640,480,bus,258,251,345,345
^000245.png,640,480,car,344,306,366,343
^000245.png,640,480,car,358,305,413,333
^000245.png,640,480,car,414,318,429,335
^000245.png,640,480,car,529,321,557,336
^000245.png,640,480,person,64,306,86,371
^000246.png,500,329,cat,129,45,352,315
^000248.png,356,500,bicycle,20,275,355,499
^000248.png,356,500,person,199,25,329,246
^000248.png,356,500,person,17,131,315,499
^000249.png,375,500,cat,79,94,361,435
^000251.png,357,500,person,112,51,160,132
^000251.png,357,500,person,69,57,277,465
^000251.png,357,500,person,116,121,211,253
^000251.png,357,500,motorbike,57,171,274,500
^000255.png,640,480,sheep,189,143,499,412
^000256.png,500,380,cow,193,75,475,341
^000257.png,375,500,cow,3,5,261,193
^000257.png,375,500,dog,102,291,373,500
^000260.png,500,374,horse,30,37,500,374
^000262.png,640,480,bicycle,46,64,586,446
^000263.png,500,375,person,301,118,382,375
^000263.png,500,375,person,93,115,175,375
^000263.png,500,375,bus,1,2,500,362
^000264.png,640,480,bicycle,46,47,588,435
^000265.png,640,480,bicycle,255,60,544,350
^000266.png,500,312,dog,104,13,193,176
^000267.png,500,375,cat,60,1,373,358
^000268.png,640,480,car,46,134,616,388
^000270.png,500,375,cat,85,4,498,375
^000271.png,500,333,horse,454,107,500,316
^000271.png,500,333,horse,156,167,335,333
^000271.png,500,333,person,453,40,500,227
^000271.png,500,333,person,207,64,318,284
^000274.png,640,480,motorbike,36,43,640,435
^000277.png,640,480,sheep,108,102,497,404
^000281.png,640,480,sheep,157,175,411,369
^000281.png,640,480,sheep,201,95,510,330
^000281.png,640,480,sheep,356,1,497,95
^000281.png,640,480,sheep,1,59,109,107
^000282.png,500,375,dog,139,37,408,365
^000283.png,640,480,bicycle,109,34,597,442
^000288.png,500,375,motorbike,85,158,243,291
^000288.png,500,375,motorbike,252,167,422,310
^000288.png,500,375,person,115,126,211,298
^000288.png,500,375,person,302,131,378,309
^000289.png,640,480,car,87,46,547,461
^000289.png,640,480,car,1,104,67,351
^000289.png,640,480,car,601,100,640,340
^000293.png,500,375,cat,101,127,199,265
^000294.png,500,375,horse,92,142,271,345
^000294.png,500,375,horse,36,122,173,337
^000294.png,500,375,car,1,134,44,204
^000294.png,500,375,car,357,132,390,156
^000294.png,500,375,person,366,120,435,302
^000294.png,500,375,person,439,109,471,174
^000294.png,500,375,person,469,115,500,189
^000294.png,500,375,person,437,126,490,319
^000298.png,640,480,car,101,30,538,440
^000301.png,500,375,sheep,245,122,320,180
^000301.png,500,375,sheep,121,132,270,230
^000301.png,500,375,sheep,222,174,337,343
^000303.png,500,333,dog,74,25,425,317
^000303.png,500,333,person,2,2,171,312
^000307.png,640,425,car,2,30,253,209
^000307.png,640,425,car,339,27,614,206
^000307.png,640,425,car,3,49,48,99
^000308.png,640,480,cow,416,187,623,307
^000308.png,640,480,cow,220,158,412,238
^000308.png,640,480,cow,39,209,206,338
^000308.png,640,480,cow,140,210,475,382
^000309.png,640,480,sheep,149,77,607,445
^000309.png,640,480,sheep,63,69,338,201
^000310.png,333,500,motorbike,128,197,333,376
^000310.png,333,500,person,178,118,305,312
^000313.png,640,425,motorbike,44,26,325,285
^000313.png,640,425,car,277,16,622,145
^000313.png,640,425,car,548,2,640,99
^000314.png,500,332,cat,3,2,386,331
^000315.png,500,377,dog,133,4,451,375
^000316.png,640,480,person,319,220,423,460
^000318.png,500,322,person,74,14,271,291
^000318.png,500,322,motorbike,42,132,380,313
^000318.png,500,322,person,299,50,383,181
^000318.png,500,322,person,219,50,300,157
^000318.png,500,322,person,189,1,259,101
^000318.png,500,322,person,397,24,446,129
^000318.png,500,322,person,17,2,57,167
^000318.png,500,322,person,58,2,99,168
^000318.png,500,322,person,455,10,500,101
^000318.png,500,322,person,432,11,470,68
^000318.png,500,322,person,261,4,317,78
^000318.png,500,322,person,156,2,203,75
^000321.png,640,480,bicycle,102,43,457,471
^000326.png,500,375,horse,146,8,438,361
^000328.png,640,480,car,37,140,606,361
^000330.png,500,375,dog,1,116,309,375
^000330.png,500,375,dog,72,1,333,177
^000331.png,500,348,cat,162,16,482,334
^000332.png,640,480,car,100,29,535,426
^000335.png,640,480,car,111,39,557,455
^000335.png,640,480,dog,10,50,71,94
^000335.png,640,480,car,611,1,640,96
^000335.png,640,480,person,534,3,571,96
^000336.png,500,333,bicycle,74,131,314,325
^000336.png,500,333,person,157,4,249,321
^000337.png,500,330,motorbike,420,153,500,305
^000337.png,500,330,motorbike,116,118,305,328
^000337.png,500,330,person,78,93,130,236
^000337.png,500,330,person,194,83,246,181
^000341.png,500,333,horse,34,47,278,316
^000341.png,500,333,person,379,86,475,301
^000341.png,500,333,person,284,44,348,147
^000342.png,640,480,car,109,47,503,412
^000342.png,640,480,car,1,120,67,333
^000342.png,640,480,car,563,165,640,377
^000343.png,500,375,motorbike,9,3,480,375
^000343.png,500,375,car,460,137,500,212
^000343.png,500,375,car,1,1,99,270
^000344.png,500,333,bus,26,43,463,297
^000344.png,500,333,person,27,146,33,167
^000344.png,500,333,person,22,146,29,166
^000344.png,500,333,person,16,148,26,167
^000344.png,500,333,person,8,146,16,167
^000344.png,500,333,person,1,146,9,166
^000347.png,500,375,car,465,148,500,217
^000347.png,500,375,car,4,200,72,235
^000351.png,480,640,person,265,174,351,394
^000351.png,480,640,person,28,298,39,322
^000351.png,480,640,person,226,298,236,317
^000352.png,640,480,car,106,64,510,414
^000353.png,640,480,bicycle,23,50,578,463
^000355.png,640,480,car,107,37,552,451
^000355.png,640,480,car,562,67,640,338
^000355.png,640,480,car,1,1,342,224
^000358.png,500,333,bicycle,86,75,442,322
^000359.png,640,478,car,327,323,526,445
^000359.png,640,478,car,157,316,302,396
^000360.png,333,500,bus,82,218,229,329
^000360.png,333,500,person,14,278,35,316
^000360.png,333,500,person,66,282,95,323
^000360.png,333,500,person,93,285,117,325
^000360.png,333,500,person,232,288,249,319
^000360.png,333,500,person,249,288,263,314
^000360.png,333,500,person,289,284,304,307
^000360.png,333,500,person,216,295,309,487
^000364.png,500,348,motorbike,126,129,227,292
^000364.png,500,348,person,125,77,220,237
^000365.png,640,480,car,38,161,614,381
^000366.png,423,500,bus,14,12,407,484
^000366.png,423,500,bus,323,133,421,436
^000366.png,423,500,car,1,319,15,381
^000367.png,500,333,cat,86,113,500,265
^000368.png,500,372,dog,32,3,475,371
^000370.png,640,480,car,121,39,574,449
^000370.png,640,480,car,532,13,561,40
^000370.png,640,480,car,617,11,640,38
^000374.png,500,333,person,235,148,257,209
^000374.png,500,333,horse,190,167,296,247
^000375.png,333,500,bicycle,86,242,160,415
^000375.png,333,500,car,2,242,178,347
^000375.png,333,500,car,161,272,217,319
^000375.png,333,500,person,316,249,333,302
^000375.png,333,500,person,302,269,318,302
^000375.png,333,500,person,274,253,298,309
^000375.png,333,500,car,232,274,244,304
^000377.png,332,500,dog,19,91,332,449
^000378.png,500,366,cat,8,10,500,355
^000381.png,500,375,person,1,44,370,375
^000387.png,333,500,cat,87,178,255,493
^000388.png,640,480,cow,387,99,550,369
^000388.png,640,480,cow,74,162,214,348
^000388.png,640,480,cow,193,140,294,341
^000388.png,640,480,cow,163,221,398,341
^000390.png,400,500,dog,9,86,381,500
^000390.png,400,500,car,3,1,396,216
^000392.png,640,480,sheep,264,215,511,372
^000392.png,640,480,sheep,154,110,544,364
^000393.png,375,500,cat,2,6,366,464
^000395.png,500,375,motorbike,99,134,394,335
^000395.png,500,375,person,167,93,344,283
^000395.png,500,375,car,431,139,500,218
^000397.png,320,220,motorbike,31,6,286,215
^000399.png,375,500,dog,8,34,375,500
^000400.png,211,384,person,78,260,144,384
^000402.png,500,375,dog,269,172,358,347
^000402.png,500,375,person,302,34,365,217
^000402.png,500,375,person,285,84,371,209
^000403.png,374,500,person,161,53,290,323
^000403.png,374,500,horse,51,76,342,500
^000407.png,375,500,dog,131,344,336,498
^000407.png,375,500,person,77,73,294,327
^000407.png,375,500,person,212,59,375,440
^000411.png,500,375,bus,398,13,500,375
^000411.png,500,375,bus,122,20,384,308
^000411.png,500,375,car,362,188,398,231
^000411.png,500,375,person,43,181,88,294
^000411.png,500,375,person,61,177,90,287
^000411.png,500,375,person,8,201,26,245
^000415.png,640,480,car,1,131,257,434
^000415.png,640,480,car,1,69,499,367
^000415.png,640,480,car,342,112,559,272
^000415.png,640,480,car,452,108,638,250
^000419.png,375,500,cat,53,73,358,482
^000421.png,375,500,bicycle,121,239,241,496
^000421.png,375,500,person,292,10,354,174
^000421.png,375,500,person,106,79,252,456
^000424.png,500,375,horse,150,175,229,226
^000425.png,394,500,dog,54,67,372,500
^000426.png,500,353,bus,4,20,313,314
^000426.png,500,353,bus,311,44,486,265
^000426.png,500,353,person,210,118,273,170
^000429.png,640,480,car,59,36,558,429
^000430.png,500,371,sheep,111,183,150,206
^000430.png,500,371,sheep,143,183,219,229
^000430.png,500,371,sheep,209,189,259,225
^000430.png,500,371,sheep,235,181,273,209
^000430.png,500,371,sheep,266,186,330,221
^000430.png,500,371,sheep,339,189,398,203
^000430.png,500,371,sheep,275,203,408,277
^000431.png,375,500,motorbike,124,178,201,291
^000431.png,375,500,motorbike,3,260,53,295
^000431.png,375,500,person,128,127,197,257
^000431.png,375,500,person,4,247,27,282
^000432.png,500,377,dog,135,73,422,201
^000435.png,500,333,horse,18,238,238,333
^000435.png,500,333,car,291,208,399,247
^000435.png,500,333,person,105,29,288,333
^000438.png,500,375,horse,146,29,383,375
^000440.png,500,334,sheep,111,55,393,303
^000441.png,500,375,bicycle,40,39,456,293
^000441.png,500,375,bicycle,215,194,482,277
^000443.png,500,375,dog,4,2,407,219
^000444.png,640,480,person,558,272,596,348
^000444.png,640,480,person,464,260,498,353
^000444.png,640,480,person,406,268,444,349
^000444.png,640,480,person,303,269,347,360
^000444.png,640,480,car,118,299,241,357
^000444.png,640,480,car,215,309,282,354
^000444.png,640,480,car,1,323,76,363
^000448.png,500,367,cat,270,99,414,259
^000448.png,500,367,cat,134,123,277,259
^000449.png,640,480,cow,169,282,341,380
^000449.png,640,480,cow,523,233,587,275
^000449.png,640,480,cow,64,264,137,346
^000449.png,640,480,cow,73,242,135,275
^000449.png,640,480,cow,278,237,312,272
^000449.png,640,480,cow,308,228,327,256
^000449.png,640,480,cow,308,264,321,288
^000449.png,640,480,cow,382,255,396,285
^000449.png,640,480,cow,395,252,407,275
^000449.png,640,480,cow,469,269,528,316
^000449.png,640,480,cow,453,236,486,268
^000449.png,640,480,cow,440,250,467,276
^000449.png,640,480,cow,418,262,439,292
^000449.png,640,480,cow,436,271,463,302
^000449.png,640,480,cow,383,291,458,352
^000452.png,375,500,dog,65,32,328,500
^000453.png,640,480,bus,134,225,328,393
^000453.png,640,480,car,253,183,334,226
^000453.png,640,480,car,4,159,55,189
^000457.png,640,480,cat,213,44,640,480
^000458.png,500,375,car,119,154,433,340
^000458.png,500,375,car,320,170,500,296
^000458.png,500,375,person,168,152,190,176
^000458.png,500,375,person,140,149,154,197
^000461.png,500,375,person,283,68,500,375
^000461.png,500,375,person,1,46,336,375
^000462.png,500,352,cat,272,217,373,330
^000466.png,500,333,horse,296,188,429,267
^000466.png,500,333,horse,279,180,324,266
^000466.png,500,333,person,343,153,384,248
^000466.png,500,333,person,318,141,345,195
^000466.png,500,333,dog,62,261,118,300
^000468.png,640,480,sheep,222,182,511,431
^000470.png,640,480,bicycle,29,41,608,452
^000471.png,500,375,cat,121,81,468,334
^000474.png,500,375,person,380,188,461,223
^000474.png,500,375,person,114,209,143,247
^000474.png,500,375,person,257,206,280,248
^000476.png,640,480,sheep,138,16,506,442
^000482.png,500,333,bus,40,29,430,278
^000482.png,500,333,car,9,173,43,222
^000484.png,375,500,cat,102,71,228,317
^000488.png,500,333,horse,271,128,370,226
^000488.png,500,333,person,298,110,337,176
^000490.png,500,397,motorbike,338,136,500,397
^000490.png,500,397,motorbike,11,57,400,396
^000490.png,500,397,car,224,38,439,143
^000490.png,500,397,car,427,53,500,137
^000490.png,500,397,person,88,6,241,326
^000490.png,500,397,person,165,29,376,395
^000492.png,500,336,sheep,291,149,390,287
^000492.png,500,336,sheep,114,87,199,226
^000492.png,500,336,sheep,150,118,292,226
^000493.png,333,500,horse,22,60,238,382
^000494.png,500,375,cat,67,64,381,294
^000495.png,500,333,dog,6,136,54,174
^000495.png,500,333,dog,209,150,227,176
^000499.png,640,480,car,310,162,640,441
^000500.png,500,375,motorbike,20,4,476,366
^000500.png,500,375,car,34,1,259,31
^000501.png,500,333,dog,103,4,426,316
^000502.png,640,480,bicycle,103,95,575,451
^000506.png,500,333,dog,194,7,351,331
^000508.png,375,500,bus,54,158,148,413
^000508.png,375,500,person,7,274,78,461
^000508.png,375,500,bus,143,2,374,499
^000511.png,640,480,bicycle,107,61,577,403
^000511.png,640,480,bicycle,22,115,527,449
^000514.png,480,640,person,335,384,400,553
^000514.png,480,640,car,243,362,341,435
^000514.png,480,640,car,53,346,172,455
^000514.png,480,640,car,1,360,57,404
^000514.png,480,640,car,427,358,480,475
^000514.png,480,640,person,256,349,270,363
^000515.png,500,375,horse,165,31,324,375
^000519.png,500,375,sheep,121,110,360,307
^000519.png,500,375,person,450,107,497,160
^000519.png,500,375,person,155,124,187,195
^000519.png,500,375,person,61,132,93,186
^000519.png,500,375,person,369,105,397,168
^000520.png,333,500,dog,104,111,281,481
^000520.png,333,500,person,2,3,331,237
^000522.png,500,375,motorbike,26,2,465,359
^000522.png,500,375,car,40,4,317,124
^000524.png,500,375,motorbike,4,3,446,374
^000524.png,500,375,person,438,50,500,238
^000524.png,500,375,person,380,27,443,217
^000524.png,500,375,person,17,60,54,110
^000525.png,375,500,cat,102,59,254,384
^000529.png,640,480,car,64,148,584,395
^000529.png,640,480,person,274,131,294,169
^000529.png,640,480,car,608,126,640,157
^000530.png,640,480,car,37,115,604,351
^000530.png,640,480,bicycle,510,125,640,250
^000535.png,500,375,horse,190,126,253,252
^000536.png,500,438,cat,9,2,450,435
^000537.png,640,480,car,21,109,583,423
^000540.png,375,500,horse,7,34,374,500
^000540.png,375,500,person,176,106,375,500
^000541.png,500,375,car,448,188,500,326
^000541.png,500,375,car,442,206,459,232
^000541.png,500,375,car,26,192,48,241
^000541.png,500,375,car,2,199,22,220
^000541.png,500,375,bus,46,2,433,375
^000541.png,500,375,person,159,189,174,216
^000541.png,500,375,person,142,193,157,213
^000541.png,500,375,person,364,200,381,228
^000541.png,500,375,person,196,10,224,39
^000541.png,500,375,person,146,37,167,66
^000541.png,500,375,person,103,72,118,96
^000541.png,500,375,person,113,188,130,213
^000541.png,500,375,person,98,196,107,214
^000546.png,500,375,dog,174,74,410,338
^000546.png,500,375,dog,298,2,374,102
^000546.png,500,375,dog,353,2,454,55
^000546.png,500,375,person,2,22,249,375
^000547.png,500,309,bicycle,22,1,187,188
^000550.png,640,480,car,74,67,536,414
^000550.png,640,480,car,534,46,559,66
^000552.png,375,500,cat,71,157,267,345
^000554.png,640,480,car,249,153,423,285
^000554.png,640,480,car,384,132,478,213
^000557.png,640,480,cow,69,166,482,437
^000559.png,500,375,motorbike,231,221,423,375
^000559.png,500,375,person,213,135,284,227
^000559.png,500,375,person,1,163,78,375
^000559.png,500,375,person,181,207,207,227
^000559.png,500,375,person,316,209,327,224
^000562.png,500,375,horse,115,85,497,373
^000563.png,500,375,cat,5,66,426,283
^000566.png,500,375,sheep,281,189,303,208
^000567.png,500,375,horse,227,15,423,375
^000567.png,500,375,horse,36,4,239,375
^000567.png,500,375,person,451,148,500,313
^000568.png,375,500,sheep,193,309,261,436
^000568.png,375,500,person,188,201,266,409
^000571.png,640,480,car,57,109,604,373
^000572.png,500,333,sheep,191,102,308,303
^000572.png,500,333,sheep,64,116,176,287
^000572.png,500,333,sheep,3,39,78,159
^000573.png,500,332,person,102,27,284,297
^000573.png,500,332,person,1,2,131,332
^000574.png,640,480,car,109,178,376,280
^000574.png,640,480,car,392,171,574,246
^000577.png,500,375,cat,166,184,477,375
^000579.png,500,375,horse,379,139,500,313
^000579.png,500,375,horse,1,149,408,375
^000580.png,448,336,motorbike,112,116,320,306
^000580.png,448,336,person,149,18,341,302
^000581.png,500,375,person,226,162,310,255
^000581.png,500,375,dog,295,161,325,242
^000583.png,500,375,sheep,2,196,373,375
^000583.png,500,375,person,58,147,188,324
^000583.png,500,375,person,121,1,238,303
^000584.png,640,480,cat,7,126,532,480
^000591.png,480,640,person,194,245,456,640
^000592.png,500,375,dog,93,57,383,354
^000595.png,640,480,cow,208,130,440,287
^000596.png,640,425,car,93,157,539,308
^000597.png,500,375,person,321,170,439,372
^000597.png,500,375,horse,170,159,310,276
^000598.png,480,640,cat,65,37,418,572
^000600.png,500,329,person,230,31,354,221
^000600.png,500,329,motorbike,230,88,338,293
^000601.png,500,333,dog,70,51,351,284
^000604.png,500,375,bus,1,1,436,252
^000604.png,500,375,car,465,89,500,242
^000604.png,500,375,person,255,183,355,368
^000604.png,500,375,person,191,99,258,329
^000604.png,500,375,person,189,80,249,301
^000604.png,500,375,person,153,75,202,319
^000604.png,500,375,person,88,57,168,361
^000604.png,500,375,person,23,75,99,375
^000604.png,500,375,person,255,87,327,271
^000604.png,500,375,person,321,80,394,350
^000604.png,500,375,person,387,77,482,375
^000608.png,500,375,dog,197,67,477,375
^000610.png,640,480,car,50,144,610,380
^000610.png,640,480,bicycle,2,194,70,294
^000612.png,375,500,cat,128,197,202,255
